accepted_abs_delta,accepted_mse,accepted_rel_delta,candidate_count,chunks,device,elapsed_sec,elements,grad_clip,id,improved_chunks,initial_mse,log,lr,neighbor_candidates,optimizer_name,out,preset,raw_abs_delta,raw_best_mse,raw_rel_delta,restarts,result_dir,returncode,rotation_trick,scale_end,scale_start,stage,std,steps,strength,target_candidates,temp_end,temp_start,tensors,weight_decay
1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,8,18,cuda:6,20.05520462989807,1179648,0.0,strength_0.25,14,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/strength_0.25/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/strength_0.25,tuned,1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,1,runtime/gsvq_iquant_hparam/20260516-041814/search/strength_0.25/20260516-042025_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
1.2120982420229842e-07,2.9518279057406795e-05,0.004089470796424816,8,18,cuda:3,19.93082094192505,1179648,0.0,temp_1.5_0.05,14,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/temp_1.5_0.05/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/temp_1.5_0.05,tuned,1.2120982420229842e-07,2.9518279057406795e-05,0.004089470796424816,1,runtime/gsvq_iquant_hparam/20260516-041814/search/temp_1.5_0.05/20260516-042123_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.05,1.5,18,0.0
1.2072440666897072e-07,2.9518764474940123e-05,0.004073093404248229,8,18,cuda:7,20.147920846939087,1179648,0.0,temp_1.5_0.2,14,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/temp_1.5_0.2/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/temp_1.5_0.2,tuned,1.2072440666897072e-07,2.9518764474940123e-05,0.004073093404248229,1,runtime/gsvq_iquant_hparam/20260516-041814/search/temp_1.5_0.2/20260516-042124_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.2,1.5,18,0.0
1.1893674430515222e-07,2.952055213730394e-05,0.004012779868783462,8,18,cuda:7,20.08708119392395,1179648,0.0,temp_2_0.05,14,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/temp_2_0.05/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/temp_2_0.05,tuned,1.1893674430515222e-07,2.952055213730394e-05,0.004012779868783462,1,runtime/gsvq_iquant_hparam/20260516-041814/search/temp_2_0.05/20260516-042104_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.05,2.0,18,0.0
1.1853404026219866e-07,2.9520954841346895e-05,0.003999193128318331,8,18,cuda:6,20.182367086410522,1179648,0.0,std_0.005,15,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/std_0.005/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/std_0.005,tuned,1.1853404026219866e-07,2.9520954841346895e-05,0.003999193128318331,1,runtime/gsvq_iquant_hparam/20260516-041814/search/std_0.005/20260516-042045_tuned,0,False,40.0,1.0,search,0.005,20,0.25,4,0.1,1.5,18,0.0
1.1696005862581299e-07,2.952252882298328e-05,0.003946088918503083,8,18,cuda:7,20.52486252784729,1179648,0.0,strength_0.5,10,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/strength_0.5/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/strength_0.5,tuned,1.1696005862581299e-07,2.952252882298328e-05,0.003946088918503083,1,runtime/gsvq_iquant_hparam/20260516-041814/search/strength_0.5/20260516-042023_tuned,0,False,40.0,1.0,search,0.01,20,0.5,4,0.1,1.5,18,0.0
1.0606517106579466e-07,2.95334237105433e-05,0.0035785087755547187,8,18,cuda:7,20.558979749679565,1179648,0.0,hard_temp_low_lr01,11,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_temp_low_lr01/subprocess.log,0.1,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_temp_low_lr01,tuned,1.0606517106579466e-07,2.95334237105433e-05,0.0035785087755547187,1,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_temp_low_lr01/20260516-042408_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.05,0.7,18,0.0
9.394797315407394e-08,2.954554090845502e-05,0.0031696893805873757,8,18,cuda:7,20.970921516418457,1179648,0.0,steps_10,12,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/steps_10/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/steps_10,tuned,9.394797315407394e-08,2.954554090845502e-05,0.0031696893805873757,1,runtime/gsvq_iquant_hparam/20260516-041814/search/steps_10/20260516-041903_tuned,0,False,40.0,1.0,search,0.01,10,0.25,4,0.1,1.5,18,0.0
9.209179552271962e-08,2.9547397086086374e-05,0.003107064224034624,8,18,cuda:5,20.4076566696167,1179648,0.0,scale_5_100,11,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_5_100/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_5_100,tuned,9.209179552271962e-08,2.9547397086086374e-05,0.003107064224034624,1,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_5_100/20260516-042205_tuned,0,False,100.0,5.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
9.131513757488935e-08,2.9548173744034204e-05,0.003080860737499059,8,18,cuda:3,20.208593606948853,1179648,0.0,scale_1_100,14,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_1_100/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_1_100,tuned,9.131513757488935e-08,2.9548173744034204e-05,0.003080860737499059,1,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_1_100/20260516-042203_tuned,0,False,100.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
8.190717279730214e-08,2.955758170881179e-05,0.00276344754541717,8,18,cuda:6,20.152816772460938,1179648,0.0,cand_8_n0_t8,9,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/cand_8_n0_t8/subprocess.log,0.05,0,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/cand_8_n0_t8,tuned,8.190717279730214e-08,2.955758170881179e-05,0.00276344754541717,1,runtime/gsvq_iquant_hparam/20260516-041814/search/cand_8_n0_t8/20260516-041945_tuned,0,False,40.0,1.0,search,0.01,20,0.25,8,0.1,1.5,18,0.0
8.156520278943552e-08,2.9557923678819658e-05,0.0027519098968014134,8,18,cuda:3,22.86832880973816,1179648,0.0,hard_lr02_steps100_c8,8,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_lr02_steps100_c8/subprocess.log,0.2,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_lr02_steps100_c8,tuned,8.156520278943552e-08,2.9557923678819658e-05,0.0027519098968014134,1,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_lr02_steps100_c8/20260516-042324_tuned,0,False,40.0,1.0,search,0.01,100,0.25,4,0.1,1.5,18,0.0
